Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",209.000000,-98.500000,0.000000,top
"C2","10microF","C_0805_2012Metric",187.500000,-107.450000,90.000000,top
"C3","100nF","C_0805_2012Metric",165.000000,-116.500000,0.000000,top
"C4","100nF","C_0805_2012Metric",209.500000,-86.450000,90.000000,top
"C5","100nF","C_0805_2012Metric",208.500000,-95.500000,0.000000,top
"D1","D_Schottky","D_SMA",194.500000,-113.000000,-90.000000,top
"D2","LED","LED_0805_2012Metric",202.500000,-78.000000,180.000000,top
"D3","LED","LED_0805_2012Metric",202.562500,-74.000000,180.000000,top
"D4","BAT54S","SOT-23",204.500000,-91.062500,-90.000000,top
"J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",213.000000,-76.380000,0.000000,top
"J2","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Molex_104031-0811",166.000000,-107.125000,90.000000,top
"J3","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",185.110000,-121.100000,0.000000,top
"J4","Conn_01x02_Pin","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",208.000000,-114.500000,90.000000,top
"J5","Conn_01x10_Pin","PinHeader_1x10_P2.54mm_Vertical",162.000000,-96.000000,180.000000,top
"J6","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",213.000000,-94.000000,0.000000,top
"R1","10k","R_0805_2012Metric",176.000000,-77.587500,-90.000000,top
"R2","5.1k","R_0805_2012Metric",180.500000,-114.000000,180.000000,top
"R3","10k","R_0805_2012Metric",173.000000,-77.500000,90.000000,top
"R4","2k","R_0805_2012Metric",207.500000,-106.000000,180.000000,top
"R5","1k","R_0805_2012Metric",207.087500,-78.000000,180.000000,top
"R6","1k","R_0805_2012Metric",207.087500,-74.000000,180.000000,top
"R7","5.1k","R_0805_2012Metric",190.000000,-114.000000,0.000000,top
"R8","1M","R_0805_2012Metric",209.000000,-101.500000,0.000000,top
"R9","1M","R_0805_2012Metric",204.087500,-101.500000,0.000000,top
"R10","1M","R_0805_2012Metric",209.087500,-91.500000,180.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",168.500000,-81.000000,0.000000,top
"SW2","SW_Push","SW_Push_SPST_NO_Alps_SKRK",168.400000,-74.000000,0.000000,top
"SW3","SW_Wuerth_450301014042","SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",195.000000,-99.000000,90.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",187.000000,-76.500000,0.000000,top
"U2","MCP6002-xMC","DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm",203.000000,-97.500000,0.000000,top
"U3","LD1117V33","TO-220-3_Vertical",183.000000,-104.500000,-90.000000,top
"U4","MCP73831-2-OT","SOT-23-5",203.637500,-108.137500,-90.000000,top
