"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C4,C5","4","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","10microF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","D_Schottky","","","","Diode_SMD:D_SMA","~"
"D2,D3","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D4","1","BAT54S","","","","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf"
"H1,H3,H4","3","MountingHole","","Excluido del BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J2","1","Micro_SD_Card_Det_Hirose_DM3AT","","","","Connector_Card:microSD_HC_Molex_104031-0811","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1"
"J3","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4","1","Conn_01x02_Pin","","","","Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal","~"
"J5","1","Conn_01x10_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"J6","1","Conn_01x02_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"R1,R3","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R7","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4","1","2k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R6","2","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8,R9,R10","3","1M","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~"
"SW3","1","SW_Wuerth_450301014042","","","","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","https://www.we-online.com/components/products/datasheet/450301014042.pdf"
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","MCP6002-xMC","","","","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.75x1.45mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf"
"U3","1","LD1117V33","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/ld1117.pdf"
"U4","1","MCP73831-2-OT","","","","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf"
